[2025-10-22T04:46:04.838Z] [INFO] === Starting Chiang Mai WebSocket Client ===
[2025-10-22T04:46:04.839Z] [INFO] [เชียงใหม่] Initializing database connection...
[2025-10-22T04:46:04.844Z] [INFO] [เชียงใหม่] Database station initialized: cmh1htzuq0000663wkea8qjx6
[2025-10-22T04:46:04.879Z] [INFO] [เชียงใหม่] เชื่อมต่อกับ WebSocket สำเร็จ
[2025-10-22T04:46:04.879Z] [INFO] [เชียงใหม่] ส่งข้อมูลชุด ID 0 (Sending data ID 0)
[2025-10-22T04:46:05.882Z] [DEBUG] [เชียงใหม่] Data sent: ID 0
[2025-10-22T04:46:21.333Z] [INFO] [เชียงใหม่] USID received: b819fcf8-0807-4236-b6ce-c3f5d584c9fa
[2025-10-22T04:46:21.334Z] [INFO] [เชียงใหม่] ส่งข้อมูลชุด ID 1 (Sending data ID 1)
[2025-10-22T04:46:22.336Z] [DEBUG] [เชียงใหม่] Data sent: ID 1
[2025-10-22T04:46:22.369Z] [INFO] [เชียงใหม่] ID 1 result: true
[2025-10-22T04:46:22.369Z] [INFO] [เชียงใหม่] ส่งข้อมูลชุด ID 2 (Sending data ID 2)
[2025-10-22T04:46:23.372Z] [DEBUG] [เชียงใหม่] Data sent: ID 2
[2025-10-22T04:46:23.403Z] [INFO] [เชียงใหม่] ID 2 result: true
[2025-10-22T04:46:23.404Z] [INFO] [เชียงใหม่] ส่งข้อมูลชุด ID 3 (Sending data ID 3)
[2025-10-22T04:46:24.405Z] [DEBUG] [เชียงใหม่] Data sent: ID 3
[2025-10-22T04:46:24.551Z] [INFO] [เชียงใหม่] ID 3 cached: true
[2025-10-22T04:46:24.552Z] [INFO] [เชียงใหม่] ส่งข้อมูลชุด ID 4 (Sending data ID 4)
[2025-10-22T04:46:25.553Z] [DEBUG] [เชียงใหม่] Data sent: ID 4
[2025-10-22T04:46:25.580Z] [INFO] [เชียงใหม่] ID 4 cached: true
[2025-10-22T04:46:25.580Z] [INFO] [เชียงใหม่] ส่งข้อมูลชุด ID 5 (Sending data ID 5)
[2025-10-22T04:46:26.582Z] [DEBUG] [เชียงใหม่] Data sent: ID 5
[2025-10-22T04:46:26.757Z] [INFO] [เชียงใหม่] ID 5 cached: true
[2025-10-22T04:46:26.758Z] [INFO] [เชียงใหม่] ส่งข้อมูลชุด ID 6 (Sending data ID 6)
[2025-10-22T04:46:27.760Z] [DEBUG] [เชียงใหม่] Data sent: ID 6
[2025-10-22T04:46:27.831Z] [INFO] [เชียงใหม่] ID 6 cached: true
[2025-10-22T04:46:27.831Z] [INFO] [เชียงใหม่] ส่งข้อมูลชุด ID 7 (Sending data ID 7)
[2025-10-22T04:46:28.833Z] [DEBUG] [เชียงใหม่] Data sent: ID 7
[2025-10-22T04:46:28.861Z] [INFO] [เชียงใหม่] ID 7 result: true
[2025-10-22T04:46:28.862Z] [INFO] [เชียงใหม่] Listening for notifications...
[2025-10-22T04:46:28.863Z] [INFO] Session established successfully
[2025-10-22T04:46:29.053Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14349.400000000001,"8685":0,"8686":null,"8687":6029,"8688":null,"8689":null,"18069":1334900.7000000002,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:46:31.914Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14345.400000000001,"8685":0,"8686":null,"8687":6033.700000000001,"8688":null,"8689":null,"18069":1334900.7000000002,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:46:34.948Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14321,"8685":0,"8686":null,"8687":6033.700000000001,"8688":null,"8689":null,"18069":1334900.7000000002,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:46:37.964Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14302.1,"8685":0,"8686":null,"8687":6037.900000000001,"8688":null,"8689":null,"18069":1334900.7000000002,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:46:40.997Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14302.1,"8685":0,"8686":null,"8687":6027.8,"8688":null,"8689":null,"18069":1334900.7000000002,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:46:43.989Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14324.5,"8685":0,"8686":null,"8687":6027.8,"8688":null,"8689":null,"18069":1334900.7000000002,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:46:50.036Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14324.5,"8685":0,"8686":null,"8687":6035.3,"8688":null,"8689":null,"18069":1334900.7000000002,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:46:59.076Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14326.6,"8685":0,"8686":null,"8687":6034.400000000001,"8688":null,"8689":null,"18069":1334900.8,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:47:02.104Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14354.400000000001,"8685":0,"8686":null,"8687":6034.400000000001,"8688":null,"8689":null,"18069":1334900.8,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:47:05.119Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14354.400000000001,"8685":0,"8686":null,"8687":6051.5,"8688":null,"8689":null,"18069":1334900.8,"18070":3498.3,"73909":null,"73910":559383.6,"75428":null,"75429":null}
[2025-10-22T04:47:08.135Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14322.800000000001,"8685":0,"8686":null,"8687":6061.200000000001,"8688":null,"8689":null,"18069":1334900.8,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:11.146Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14323.800000000001,"8685":0,"8686":null,"8687":6061.200000000001,"8688":null,"8689":null,"18069":1334900.9000000001,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
