stations,activePower1,activePower2,activePower3,activePower4,activePower5,activePower6,muxPower1,muxPower2,muxPower3,muxPower4,muxPower5,muxPower6
ใบหยก,8684,,,8687,,,18069,,,73910,,
กาญจนบุรี,8684,8685,,8687,,,18069,18070,,73910,,
สิงห์บุรี,8684,8685,8686,8687,,8689,18069,18070,73909,73910,,75519
อุบลราชธานี,8684,8685,,8687,,,18069,18070,,73910,,
มุกดาหาร,8684,8685,8686,8687,,,18069,18070,73909,73910,,
สกลนคร,8684,8685,,8687,,8689,18069,18070,,73910,,18053
สุรินทร์,8684,8685,8686,8687,,,18069,18070,73909,73910,,
ร้อยเอ็ด,8684,8685,8686,8687,8688,,18069,18070,73909,73910,75432,
นครราชสีมา,8684,8685,8686,8687,,,18069,18070,73909,73910,,
สระแก้ว,8684,8685,8686,8687,,,18069,18070,73909,73910,,
ระยอง,8684,8685,,8687,,,18069,18070,,73910,,
ตราด,8684,8685,8686,8687,,,18069,18070,73909,73910,,
ชุมพร,8684,8685,8686,8687,,,18069,18070,73909,73910,,
ระนอง,8684,8685,,8687,8688,,18069,18070,,73910,224272,
สุราษฎร์ธานี,8684,8685,,8687,,,18069,18070,,73910,,
ภูเก็ต,8684,,,8687,8688,8689,18069,,,73910,75483,75484
นครศรีธรรมราช,8684,8685,,8687,,,18069,18070,,73910,,
สงขลา,8684,8685,,8687,,,18069,18070,,73910,,
สตูล,8684,8685,,8687,,,18069,18070,,73910,,
ตรัง,8684,8685,,8687,,,18069,18070,,73910,,
สุโขทัย,8684,8685,8686,8687,8688,,18069,18070,73909,73910,75441,
นครสวรรค์,8684,,,8687,,,18069,,,73910,,
เพชรบูรณ์,8684,8685,8686,8687,,,18069,18070,73909,73910,,
ตาก,8684,8685,,8687,,,18069,18070,,73910,,
เชียงใหม่,8684,,8686,8687,,,18069,,73909,73910,,
เชียงราย,8684,,,8687,,,18069,,,73910,,
แม่ฮ่องสอน,8684,8685,,8687,,,18069,18070,,73910,,
แพร่,8684,8685,,8687,,,18069,18070,,73910,,
น่าน,8684,8685,,8687,,,18069,18070,,73910,,
ขอนแก่น,8684,8685,8686,8687,8688,8689,18069,18070,73909,73910,75428,75429
ชัยภูมิ,8684,8685,,8687,,,18069,18070,,73910,,
เลย,8684,8685,,8687,8688,,18069,18070,,73910,75428,
อุดรธานี,8684,,8686,8687,,,18069,,73909,73910,,
