id,stationId,timestamp,activePower1,activePower2,activePower3,activePower4,activePower5,activePower6,muxPower1,muxPower2,muxPower3,muxPower4,createdAt
cmgke24it000266jgdpdjn529,cmgke24ca000066jggym0rqfh,1760073064769,10546.9,5200.7,0.0,5730.3,0.0,0.0,969561.5,419801.0,0.0,500347.0,1760073064805
cmgke291m000566jgwx7hkgtu,cmgke26ug000366jg84ei7i5z,1760073070664,9324.8,3481.8,,3834.0,,,,,,,1760073070666
cmgke2dq9000766jg48xp0f13,cmgke24ca000066jggym0rqfh,1760073076732,10525.0,5205.3,0.0,5725.8,0.0,0.0,969561.6,419801.0,0.0,500347.0,1760073076737
cmgke2idg000966jgmo7uui43,cmgke26ug000366jg84ei7i5z,1760073082755,9355.0,3478.2,,3845.8,,,,,,,1760073082757
cmgke2n0l000b66jgej24fvpg,cmgke24ca000066jggym0rqfh,1760073088770,10554.1,5214.4,0.0,5727.7,0.0,0.0,969561.6,419801.0,0.0,500347.0,1760073088773
cmgke2tzm000d66jgi4pr72m0,cmgke26ug000366jg84ei7i5z,1760073097807,9335.9,3484.2,,3836.8,,,,,,,1760073097810
cmgke2we6000f66jg8pbeme8x,cmgke24ca000066jggym0rqfh,1760073100923,10566.0,5203.6,0.0,5730.6,0.0,0.0,969561.6,419801.1,0.0,500347.1,1760073100926
cmgke33d2000h66jg55acei5j,cmgke26ug000366jg84ei7i5z,1760073109955,9361.1,3469.5,,3833.7,,,813747.5,,,,1760073109958
cmgke35of000j66jghwb3tm2y,cmgke24ca000066jggym0rqfh,1760073112955,10553.4,5212.6,0.0,5734.5,0.0,0.0,969561.7,419801.1,0.0,500347.1,1760073112960
cmgke3cop000l66jge61bf8kp,cmgke26ug000366jg84ei7i5z,1760073122038,9345.5,3466.7,,3830.5,,,813747.5,298004.6,,,1760073122041
cmgke3hck000n66jg3g10cit2,cmgke24ca000066jggym0rqfh,1760073128080,10575.6,5204.8,0.0,5720.3,0.0,0.0,969561.7,419801.1,0.0,500347.1,1760073128084
cmgke3m0c000p66jggrw0tckt,cmgke26ug000366jg84ei7i5z,1760073134123,9339.7,3475.7,,3841.3,,,813747.6,298004.6,,,1760073134124
cmgke3qo6000r66jg6nhbfih2,cmgke24ca000066jggym0rqfh,1760073140163,10556.5,5218.5,0.0,5722.7,0.0,0.0,969561.7,419801.1,0.0,500347.1,1760073140166
cmgke3vev000t66jgkbc8w036,cmgke26ug000366jg84ei7i5z,1760073146309,9343.3,3471.4,,3830.9,,,813747.6,298004.6,,,1760073146311
cmgke3zy2000v66jg93pu2nxi,cmgke24ca000066jggym0rqfh,1760073152183,10536.3,5216.2,0.0,5727.7,0.0,0.0,969561.8,419801.1,0.0,500347.1,1760073152187
cmgke46ys000x66jgi1r1xmlc,cmgke26ug000366jg84ei7i5z,1760073161281,9331.1,3474.4,,3837.1,,,813747.6,298004.6,,354024.4,1760073161284
cmgke499a000z66jgrbp9hbqi,cmgke24ca000066jggym0rqfh,1760073164251,10556.8,5213.0,0.0,5724.6,0.0,0.0,969561.8,419801.2,0.0,500347.2,1760073164254
cmgke4gat001166jgwv8hpy2j,cmgke26ug000366jg84ei7i5z,1760073173379,9339.5,3469.5,,3830.7,,,813747.7,298004.6,,354024.4,1760073173381
cmgke4ikk001366jgbv72lq8e,cmgke24ca000066jggym0rqfh,1760073176321,10545.7,5198.7,0.0,5739.2,0.0,0.0,969561.8,419801.2,0.0,500347.2,1760073176324
cmgke4pnc001566jghalbmtua,cmgke26ug000366jg84ei7i5z,1760073185494,9326.1,3490.2,,3844.0,,,813747.7,298004.6,,354024.4,1760073185497
cmgke4rve001766jgj7vtvmev,cmgke24ca000066jggym0rqfh,1760073188376,10574.9,5210.9,0.0,5729.4,0.0,0.0,969561.9,419801.2,0.0,500347.2,1760073188379
